"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5%File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","% Total Population: Under 5 Years","% Total Population: 5 to 9 Years","% Total Population: 10 to 14 Years","% Total Population: 15 to 17 Years","% Total Population: 18 to 24 Years","% Total Population: 25 to 34 Years","% Total Population: 35 to 44 Years","% Total Population: 45 to 54 Years","% Total Population: 55 to 64 Years","% Total Population: 65 to 74 Years","% Total Population: 75 to 84 Years","% Total Population: 85 Years and Over"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"ACSSF","ca","140","00","0004214",,,,,"06","037",,,"103202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103202","Census Tract 1032.02",,,"Census Tract 1032.02, Los Angeles County, California","06037103202","4738407","0",,,,,,,,2082,127,38,119,47,56,423,207,156,319,447,143,0,6.1,1.83,5.72,2.26,2.69,20.32,9.94,7.49,15.32,21.47,6.87,0
"ACSSF","ca","140","00","0004215",,,,,"06","037",,,"103300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103300","Census Tract 1033",,,"Census Tract 1033, Los Angeles County, California","06037103300","6141955","0",,,,,,,,3842,118,318,354,155,213,318,436,570,566,478,202,114,3.07,8.28,9.21,4.03,5.54,8.28,11.35,14.84,14.73,12.44,5.26,2.97
"ACSSF","ca","140","00","0004216",,,,,"06","037",,,"103401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103401","Census Tract 1034.01",,,"Census Tract 1034.01, Los Angeles County, California","06037103401","1401638","0",,,,,,,,2643,86,140,178,0,210,404,177,397,459,332,204,56,3.25,5.3,6.73,0,7.95,15.29,6.7,15.02,17.37,12.56,7.72,2.12
"ACSSF","ca","140","00","0004217",,,,,"06","037",,,"103402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103402","Census Tract 1034.02",,,"Census Tract 1034.02, Los Angeles County, California","06037103402","1099115","0",,,,,,,,3902,249,173,223,72,173,504,631,338,903,404,193,39,6.38,4.43,5.72,1.85,4.43,12.92,16.17,8.66,23.14,10.35,4.95,1
"ACSSF","ca","140","00","0004218",,,,,"06","037",,,"104103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104103","Census Tract 1041.03",,,"Census Tract 1041.03, Los Angeles County, California","06037104103","949109","0",,,,,,,,4204,224,237,177,192,398,868,561,469,375,367,246,90,5.33,5.64,4.21,4.57,9.47,20.65,13.34,11.16,8.92,8.73,5.85,2.14
"ACSSF","ca","140","00","0004219",,,,,"06","037",,,"104105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104105","Census Tract 1041.05",,,"Census Tract 1041.05, Los Angeles County, California","06037104105","584682","0",,,,,,,,5789,251,303,564,481,718,593,815,754,512,498,213,87,4.34,5.23,9.74,8.31,12.4,10.24,14.08,13.02,8.84,8.6,3.68,1.5
"ACSSF","ca","140","00","0004220",,,,,"06","037",,,"104108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104108","Census Tract 1041.08",,,"Census Tract 1041.08, Los Angeles County, California","06037104108","1096636","0",,,,,,,,5138,375,464,379,97,480,882,786,582,561,337,131,64,7.3,9.03,7.38,1.89,9.34,17.17,15.3,11.33,10.92,6.56,2.55,1.25
"ACSSF","ca","140","00","0004221",,,,,"06","037",,,"104124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104124","Census Tract 1041.24",,,"Census Tract 1041.24, Los Angeles County, California","06037104124","4479733","632",,,,,,,,3889,300,138,163,131,368,600,479,472,635,416,148,39,7.71,3.55,4.19,3.37,9.46,15.43,12.32,12.14,16.33,10.7,3.81,1
"ACSSF","ca","140","00","0004222",,,,,"06","037",,,"104201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104201","Census Tract 1042.01",,,"Census Tract 1042.01, Los Angeles County, California","06037104201","1090097","0",,,,,,,,4599,250,263,296,194,484,877,668,483,463,414,172,35,5.44,5.72,6.44,4.22,10.52,19.07,14.52,10.5,10.07,9,3.74,0.76
"ACSSF","ca","140","00","0004223",,,,,"06","037",,,"104203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104203","Census Tract 1042.03",,,"Census Tract 1042.03, Los Angeles County, California","06037104203","707989","0",,,,,,,,5178,392,455,405,196,495,782,937,648,391,236,200,41,7.57,8.79,7.82,3.79,9.56,15.1,18.1,12.51,7.55,4.56,3.86,0.79
"ACSSF","ca","140","00","0004224",,,,,"06","037",,,"104204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104204","Census Tract 1042.04",,,"Census Tract 1042.04, Los Angeles County, California","06037104204","2660594","3735",,,,,,,,3749,273,152,260,238,486,612,434,523,393,167,124,87,7.28,4.05,6.94,6.35,12.96,16.32,11.58,13.95,10.48,4.45,3.31,2.32
"ACSSF","ca","140","00","0004225",,,,,"06","037",,,"104310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104310","Census Tract 1043.10",,,"Census Tract 1043.10, Los Angeles County, California","06037104310","1508621","0",,,,,,,,4875,225,278,443,204,430,839,661,655,586,471,54,29,4.62,5.7,9.09,4.18,8.82,17.21,13.56,13.44,12.02,9.66,1.11,0.59
"ACSSF","ca","140","00","0004226",,,,,"06","037",,,"104321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104321","Census Tract 1043.21",,,"Census Tract 1043.21, Los Angeles County, California","06037104321","519857","0",,,,,,,,3115,79,199,215,65,351,641,331,478,279,347,121,9,2.54,6.39,6.9,2.09,11.27,20.58,10.63,15.35,8.96,11.14,3.88,0.29
"ACSSF","ca","140","00","0004227",,,,,"06","037",,,"104322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104322","Census Tract 1043.22",,,"Census Tract 1043.22, Los Angeles County, California","06037104322","692312","0",,,,,,,,1892,138,118,47,69,259,367,124,226,373,133,33,5,7.29,6.24,2.48,3.65,13.69,19.4,6.55,11.95,19.71,7.03,1.74,0.26
"ACSSF","ca","140","00","0004228",,,,,"06","037",,,"104401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104401","Census Tract 1044.01",,,"Census Tract 1044.01, Los Angeles County, California","06037104401","681117","0",,,,,,,,3066,179,256,276,199,298,545,359,257,362,283,43,9,5.84,8.35,9,6.49,9.72,17.78,11.71,8.38,11.81,9.23,1.4,0.29
"ACSSF","ca","140","00","0004229",,,,,"06","037",,,"104403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104403","Census Tract 1044.03",,,"Census Tract 1044.03, Los Angeles County, California","06037104403","693083","0",,,,,,,,2724,132,190,144,68,246,471,360,415,207,319,105,67,4.85,6.98,5.29,2.5,9.03,17.29,13.22,15.23,7.6,11.71,3.85,2.46
"ACSSF","ca","140","00","0004230",,,,,"06","037",,,"104404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104404","Census Tract 1044.04",,,"Census Tract 1044.04, Los Angeles County, California","06037104404","539620","0",,,,,,,,3413,177,179,323,247,372,502,480,444,300,254,110,25,5.19,5.24,9.46,7.24,10.9,14.71,14.06,13.01,8.79,7.44,3.22,0.73
"ACSSF","ca","140","00","0004231",,,,,"06","037",,,"104500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104500","Census Tract 1045",,,"Census Tract 1045, Los Angeles County, California","06037104500","531002","0",,,,,,,,3119,350,245,271,55,314,535,410,456,189,158,114,22,11.22,7.86,8.69,1.76,10.07,17.15,13.15,14.62,6.06,5.07,3.66,0.71
"ACSSF","ca","140","00","0004232",,,,,"06","037",,,"104610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104610","Census Tract 1046.10",,,"Census Tract 1046.10, Los Angeles County, California","06037104610","592138","0",,,,,,,,3274,209,239,266,186,265,536,491,338,358,280,75,31,6.38,7.3,8.12,5.68,8.09,16.37,15,10.32,10.93,8.55,2.29,0.95
"ACSSF","ca","140","00","0004233",,,,,"06","037",,,"104620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104620","Census Tract 1046.20",,,"Census Tract 1046.20, Los Angeles County, California","06037104620","531171","0",,,,,,,,3490,257,201,210,104,450,625,423,421,412,205,128,54,7.36,5.76,6.02,2.98,12.89,17.91,12.12,12.06,11.81,5.87,3.67,1.55
"ACSSF","ca","140","00","0004234",,,,,"06","037",,,"104701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104701","Census Tract 1047.01",,,"Census Tract 1047.01, Los Angeles County, California","06037104701","550504","0",,,,,,,,3812,150,358,427,261,446,538,471,555,321,185,71,29,3.93,9.39,11.2,6.85,11.7,14.11,12.36,14.56,8.42,4.85,1.86,0.76
"ACSSF","ca","140","00","0004235",,,,,"06","037",,,"104703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104703","Census Tract 1047.03",,,"Census Tract 1047.03, Los Angeles County, California","06037104703","1168239","0",,,,,,,,2367,134,186,293,100,274,396,352,319,114,142,43,14,5.66,7.86,12.38,4.22,11.58,16.73,14.87,13.48,4.82,6,1.82,0.59
"ACSSF","ca","140","00","0004236",,,,,"06","037",,,"104704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104704","Census Tract 1047.04",,,"Census Tract 1047.04, Los Angeles County, California","06037104704","1663127","0",,,,,,,,4487,274,486,481,234,510,675,515,517,340,211,218,26,6.11,10.83,10.72,5.22,11.37,15.04,11.48,11.52,7.58,4.7,4.86,0.58
"ACSSF","ca","140","00","0004237",,,,,"06","037",,,"104821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104821","Census Tract 1048.21",,,"Census Tract 1048.21, Los Angeles County, California","06037104821","531802","0",,,,,,,,3514,195,310,279,127,237,515,531,334,601,246,88,51,5.55,8.82,7.94,3.61,6.74,14.66,15.11,9.5,17.1,7,2.5,1.45
"ACSSF","ca","140","00","0004238",,,,,"06","037",,,"104822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104822","Census Tract 1048.22",,,"Census Tract 1048.22, Los Angeles County, California","06037104822","604352","0",,,,,,,,2668,149,235,203,154,243,305,432,317,307,135,125,63,5.58,8.81,7.61,5.77,9.11,11.43,16.19,11.88,11.51,5.06,4.69,2.36
"ACSSF","ca","140","00","0004239",,,,,"06","037",,,"104823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104823","Census Tract 1048.23",,,"Census Tract 1048.23, Los Angeles County, California","06037104823","531333","0",,,,,,,,3346,322,351,265,203,305,287,552,521,312,23,150,55,9.62,10.49,7.92,6.07,9.12,8.58,16.5,15.57,9.32,0.69,4.48,1.64
"ACSSF","ca","140","00","0004240",,,,,"06","037",,,"104824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104824","Census Tract 1048.24",,,"Census Tract 1048.24, Los Angeles County, California","06037104824","592028","0",,,,,,,,2781,189,177,210,110,224,447,480,287,321,275,16,45,6.8,6.36,7.55,3.96,8.05,16.07,17.26,10.32,11.54,9.89,0.58,1.62
"ACSSF","ca","140","00","0004241",,,,,"06","037",,,"106010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106010","Census Tract 1060.10",,,"Census Tract 1060.10, Los Angeles County, California","06037106010","2517807","0",,,,,,,,3494,375,135,302,103,209,543,380,449,562,271,124,41,10.73,3.86,8.64,2.95,5.98,15.54,10.88,12.85,16.08,7.76,3.55,1.17
"ACSSF","ca","140","00","0004242",,,,,"06","037",,,"106020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106020","Census Tract 1060.20",,,"Census Tract 1060.20, Los Angeles County, California","06037106020","2010764","7144",,,,,,,,4790,101,139,292,121,590,803,675,755,606,441,242,25,2.11,2.9,6.1,2.53,12.32,16.76,14.09,15.76,12.65,9.21,5.05,0.52
"ACSSF","ca","140","00","0004243",,,,,"06","037",,,"106111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106111","Census Tract 1061.11",,,"Census Tract 1061.11, Los Angeles County, California","06037106111","2774241","12394",,,,,,,,4694,160,322,301,167,395,527,648,716,739,499,141,79,3.41,6.86,6.41,3.56,8.41,11.23,13.8,15.25,15.74,10.63,3,1.68
"ACSSF","ca","140","00","0004244",,,,,"06","037",,,"106112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106112","Census Tract 1061.12",,,"Census Tract 1061.12, Los Angeles County, California","06037106112","3228478","0",,,,,,,,5167,157,243,425,241,384,647,948,767,671,385,189,110,3.04,4.7,8.23,4.66,7.43,12.52,18.35,14.84,12.99,7.45,3.66,2.13
"ACSSF","ca","140","00","0004245",,,,,"06","037",,,"106113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106113","Census Tract 1061.13",,,"Census Tract 1061.13, Los Angeles County, California","06037106113","1443463","0",,,,,,,,3797,108,197,329,230,229,425,650,572,592,278,127,60,2.84,5.19,8.66,6.06,6.03,11.19,17.12,15.06,15.59,7.32,3.34,1.58
"ACSSF","ca","140","00","0004246",,,,,"06","037",,,"106114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106114","Census Tract 1061.14",,,"Census Tract 1061.14, Los Angeles County, California","06037106114","1011120","3298",,,,,,,,6658,540,483,591,435,757,798,898,712,830,476,44,94,8.11,7.25,8.88,6.53,11.37,11.99,13.49,10.69,12.47,7.15,0.66,1.41
"ACSSF","ca","140","00","0004247",,,,,"06","037",,,"106403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106403","Census Tract 1064.03",,,"Census Tract 1064.03, Los Angeles County, California","06037106403","1105644","0",,,,,,,,3501,239,238,286,187,217,468,566,363,544,206,149,38,6.83,6.8,8.17,5.34,6.2,13.37,16.17,10.37,15.54,5.88,4.26,1.09
"ACSSF","ca","140","00","0004248",,,,,"06","037",,,"106405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106405","Census Tract 1064.05",,,"Census Tract 1064.05, Los Angeles County, California","06037106405","1171734","0",,,,,,,,4405,301,347,315,149,391,567,637,685,615,287,100,11,6.83,7.88,7.15,3.38,8.88,12.87,14.46,15.55,13.96,6.52,2.27,0.25
"ACSSF","ca","140","00","0004249",,,,,"06","037",,,"106406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106406","Census Tract 1064.06",,,"Census Tract 1064.06, Los Angeles County, California","06037106406","2012822","916",,,,,,,,6360,434,290,424,129,763,1042,728,628,1055,589,161,117,6.82,4.56,6.67,2.03,12,16.38,11.45,9.87,16.59,9.26,2.53,1.84
"ACSSF","ca","140","00","0004250",,,,,"06","037",,,"106407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106407","Census Tract 1064.07",,,"Census Tract 1064.07, Los Angeles County, California","06037106407","232136","0",,,,,,,,2558,97,275,201,115,273,285,278,373,246,158,135,122,3.79,10.75,7.86,4.5,10.67,11.14,10.87,14.58,9.62,6.18,5.28,4.77
"ACSSF","ca","140","00","0004251",,,,,"06","037",,,"106408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106408","Census Tract 1064.08",,,"Census Tract 1064.08, Los Angeles County, California","06037106408","229070","0",,,,,,,,3749,467,365,324,156,393,791,432,407,265,103,46,0,12.46,9.74,8.64,4.16,10.48,21.1,11.52,10.86,7.07,2.75,1.23,0
"ACSSF","ca","140","00","0004252",,,,,"06","037",,,"106510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106510","Census Tract 1065.10",,,"Census Tract 1065.10, Los Angeles County, California","06037106510","5782012","8398",,,,,,,,5738,326,364,379,615,304,834,1045,469,874,272,161,95,5.68,6.34,6.61,10.72,5.3,14.53,18.21,8.17,15.23,4.74,2.81,1.66
"ACSSF","ca","140","00","0004253",,,,,"06","037",,,"106520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106520","Census Tract 1065.20",,,"Census Tract 1065.20, Los Angeles County, California","06037106520","2205882","0",,,,,,,,5861,282,471,222,338,666,1170,719,756,591,404,182,60,4.81,8.04,3.79,5.77,11.36,19.96,12.27,12.9,10.08,6.89,3.11,1.02
"ACSSF","ca","140","00","0004254",,,,,"06","037",,,"106603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106603","Census Tract 1066.03",,,"Census Tract 1066.03, Los Angeles County, California","06037106603","10318680","2478",,,,,,,,3646,131,287,238,153,225,487,347,394,630,510,179,65,3.59,7.87,6.53,4.2,6.17,13.36,9.52,10.81,17.28,13.99,4.91,1.78
"ACSSF","ca","140","00","0004255",,,,,"06","037",,,"106604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106604","Census Tract 1066.04",,,"Census Tract 1066.04, Los Angeles County, California","06037106604","2611563","8851",,,,,,,,3749,180,22,188,149,372,562,432,837,389,306,203,109,4.8,0.59,5.01,3.97,9.92,14.99,11.52,22.33,10.38,8.16,5.41,2.91
"ACSSF","ca","140","00","0004256",,,,,"06","037",,,"106641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106641","Census Tract 1066.41",,,"Census Tract 1066.41, Los Angeles County, California","06037106641","1135493","0",,,,,,,,2200,174,109,131,95,100,182,318,286,349,159,233,64,7.91,4.95,5.95,4.32,4.55,8.27,14.45,13,15.86,7.23,10.59,2.91
"ACSSF","ca","140","00","0004257",,,,,"06","037",,,"106642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106642","Census Tract 1066.42",,,"Census Tract 1066.42, Los Angeles County, California","06037106642","1577594","0",,,,,,,,3421,186,248,189,101,246,424,284,477,778,234,200,54,5.44,7.25,5.52,2.95,7.19,12.39,8.3,13.94,22.74,6.84,5.85,1.58
"ACSSF","ca","140","00","0004258",,,,,"06","037",,,"106643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106643","Census Tract 1066.43",,,"Census Tract 1066.43, Los Angeles County, California","06037106643","4338941","0",,,,,,,,4432,257,236,99,200,400,456,447,670,723,748,112,84,5.8,5.32,2.23,4.51,9.03,10.29,10.09,15.12,16.31,16.88,2.53,1.9
"ACSSF","ca","140","00","0004259",,,,,"06","037",,,"106645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106645","Census Tract 1066.45",,,"Census Tract 1066.45, Los Angeles County, California","06037106645","2527932","0",,,,,,,,3874,225,286,256,193,166,213,567,400,780,438,227,123,5.81,7.38,6.61,4.98,4.28,5.5,14.64,10.33,20.13,11.31,5.86,3.18
"ACSSF","ca","140","00","0004260",,,,,"06","037",,,"106646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106646","Census Tract 1066.46",,,"Census Tract 1066.46, Los Angeles County, California","06037106646","1476213","0",,,,,,,,3002,217,118,161,69,138,438,358,280,589,304,173,157,7.23,3.93,5.36,2.3,4.6,14.59,11.93,9.33,19.62,10.13,5.76,5.23
"ACSSF","ca","140","00","0004261",,,,,"06","037",,,"106648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106648","Census Tract 1066.48",,,"Census Tract 1066.48, Los Angeles County, California","06037106648","792932","0",,,,,,,,4570,348,401,296,386,501,532,583,707,314,379,113,10,7.61,8.77,6.48,8.45,10.96,11.64,12.76,15.47,6.87,8.29,2.47,0.22
"ACSSF","ca","140","00","0004262",,,,,"06","037",,,"106649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106649","Census Tract 1066.49",,,"Census Tract 1066.49, Los Angeles County, California","06037106649","1112675","0",,,,,,,,2816,126,217,156,118,363,278,274,463,335,274,74,138,4.47,7.71,5.54,4.19,12.89,9.87,9.73,16.44,11.9,9.73,2.63,4.9
"ACSSF","ca","140","00","0004263",,,,,"06","037",,,"107010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037107010","Census Tract 1070.10",,,"Census Tract 1070.10, Los Angeles County, California","06037107010","684671","0",,,,,,,,3118,92,171,146,153,299,600,427,409,385,293,65,78,2.95,5.48,4.68,4.91,9.59,19.24,13.69,13.12,12.35,9.4,2.08,2.5
"ACSSF","ca","140","00","0004264",,,,,"06","037",,,"107020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037107020","Census Tract 1070.20",,,"Census Tract 1070.20, Los Angeles County, California","06037107020","993964","0",,,,,,,,5337,469,393,395,428,624,542,769,568,736,282,120,11,8.79,7.36,7.4,8.02,11.69,10.16,14.41,10.64,13.79,5.28,2.25,0.21
"ACSSF","ca","140","00","0004265",,,,,"06","037",,,"108101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108101","Census Tract 1081.01",,,"Census Tract 1081.01, Los Angeles County, California","06037108101","1128633","0",,,,,,,,2324,135,129,97,16,111,384,192,328,380,269,207,76,5.81,5.55,4.17,0.69,4.78,16.52,8.26,14.11,16.35,11.57,8.91,3.27
"ACSSF","ca","140","00","0004266",,,,,"06","037",,,"108102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108102","Census Tract 1081.02",,,"Census Tract 1081.02, Los Angeles County, California","06037108102","2183817","0",,,,,,,,3439,167,158,341,103,180,293,421,605,413,315,230,213,4.86,4.59,9.92,3,5.23,8.52,12.24,17.59,12.01,9.16,6.69,6.19
"ACSSF","ca","140","00","0004267",,,,,"06","037",,,"108103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108103","Census Tract 1081.03",,,"Census Tract 1081.03, Los Angeles County, California","06037108103","2564931","0",,,,,,,,3064,107,75,105,101,358,396,299,467,479,392,205,80,3.49,2.45,3.43,3.3,11.68,12.92,9.76,15.24,15.63,12.79,6.69,2.61
"ACSSF","ca","140","00","0004268",,,,,"06","037",,,"108104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108104","Census Tract 1081.04",,,"Census Tract 1081.04, Los Angeles County, California","06037108104","826020","0",,,,,,,,1756,142,137,180,30,146,83,149,327,224,194,97,47,8.09,7.8,10.25,1.71,8.31,4.73,8.49,18.62,12.76,11.05,5.52,2.68
"ACSSF","ca","140","00","0004269",,,,,"06","037",,,"108202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108202","Census Tract 1082.02",,,"Census Tract 1082.02, Los Angeles County, California","06037108202","5976110","3024",,,,,,,,8776,350,847,533,306,609,933,1324,1655,1053,782,323,61,3.99,9.65,6.07,3.49,6.94,10.63,15.09,18.86,12,8.91,3.68,0.7
"ACSSF","ca","140","00","0004270",,,,,"06","037",,,"108203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108203","Census Tract 1082.03",,,"Census Tract 1082.03, Los Angeles County, California","06037108203","1372380","0",,,,,,,,3301,17,158,262,180,244,231,355,505,566,482,242,59,0.51,4.79,7.94,5.45,7.39,7,10.75,15.3,17.15,14.6,7.33,1.79
"ACSSF","ca","140","00","0004271",,,,,"06","037",,,"108204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108204","Census Tract 1082.04",,,"Census Tract 1082.04, Los Angeles County, California","06037108204","1432707","0",,,,,,,,1831,78,292,92,66,67,115,218,304,319,190,82,8,4.26,15.95,5.02,3.6,3.66,6.28,11.91,16.6,17.42,10.38,4.48,0.44
"ACSSF","ca","140","00","0004272",,,,,"06","037",,,"109100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109100","Census Tract 1091",,,"Census Tract 1091, Los Angeles County, California","06037109100","2705905","0",,,,,,,,2558,157,119,93,71,151,248,340,289,283,332,181,294,6.14,4.65,3.64,2.78,5.9,9.7,13.29,11.3,11.06,12.98,7.08,11.49
"ACSSF","ca","140","00","0004273",,,,,"06","037",,,"109200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109200","Census Tract 1092",,,"Census Tract 1092, Los Angeles County, California","06037109200","1016942","0",,,,,,,,2863,130,105,254,97,248,453,305,356,539,235,67,74,4.54,3.67,8.87,3.39,8.66,15.82,10.65,12.43,18.83,8.21,2.34,2.58
"ACSSF","ca","140","00","0004274",,,,,"06","037",,,"109300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109300","Census Tract 1093",,,"Census Tract 1093, Los Angeles County, California","06037109300","1233087","0",,,,,,,,2846,187,109,199,74,138,442,268,495,341,320,210,63,6.57,3.83,6.99,2.6,4.85,15.53,9.42,17.39,11.98,11.24,7.38,2.21
