Census_Tract_ID,Geographic Identifier,Area Name,Qualifying Name,Area (Land),Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,% Total Population: Under 5 Years,% Total Population: 55 to 64 Years,% Total Population: 65 to 74 Years,% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over
CT_ID_TXT,Geo_GEOID,Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,SE_A01001_001,SE_A01001_002,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
06037543100,14000US06037543100,Census Tract 5431,"Census Tract 5431, Los Angeles County, California",2890195,0,7503,455,327,238,162,6.06,12.9,4.36,3.17,2.16
06037543201,14000US06037543201,Census Tract 5432.01,"Census Tract 5432.01, Los Angeles County, California",1006560,3873,3529,261,145,100,53,7.4,10.71,4.11,2.83,1.5
06037543203,14000US06037543203,Census Tract 5432.03,"Census Tract 5432.03, Los Angeles County, California",3651054,53917,4329,320,189,56,34,7.39,6.72,4.37,1.29,0.79
06037543304,14000US06037543304,Census Tract 5433.04,"Census Tract 5433.04, Los Angeles County, California",1610159,0,6886,220,710,479,197,3.19,14.68,10.31,6.96,2.86
06037543305,14000US06037543305,Census Tract 5433.05,"Census Tract 5433.05, Los Angeles County, California",8227026,158094,3802,208,484,158,32,5.47,15.33,12.73,4.16,0.84
06037543306,14000US06037543306,Census Tract 5433.06,"Census Tract 5433.06, Los Angeles County, California",3500984,67881,7006,399,535,417,140,5.7,12.55,7.64,5.95,2
06037543321,14000US06037543321,Census Tract 5433.21,"Census Tract 5433.21, Los Angeles County, California",4253794,0,5829,126,1250,330,175,2.16,12.04,21.44,5.66,3
06037543322,14000US06037543322,Census Tract 5433.22,"Census Tract 5433.22, Los Angeles County, California",1964091,0,6937,62,711,675,158,0.89,24.69,10.25,9.73,2.28
06037543400,14000US06037543400,Census Tract 5434,"Census Tract 5434, Los Angeles County, California",2927301,180427,3755,139,323,258,118,3.7,9.99,8.6,6.87,3.14
06037543501,14000US06037543501,Census Tract 5435.01,"Census Tract 5435.01, Los Angeles County, California",2660821,6246,6136,323,753,213,94,5.26,19.41,12.27,3.47,1.53
06037543502,14000US06037543502,Census Tract 5435.02,"Census Tract 5435.02, Los Angeles County, California",1100396,21255,4786,146,382,160,11,3.05,20.1,7.98,3.34,0.23
06037543503,14000US06037543503,Census Tract 5435.03,"Census Tract 5435.03, Los Angeles County, California",1663602,12058,5880,344,916,300,215,5.85,13.59,15.58,5.1,3.66
06037543601,14000US06037543601,Census Tract 5436.01,"Census Tract 5436.01, Los Angeles County, California",649802,0,4752,155,420,118,78,3.26,15,8.84,2.48,1.64
06037543603,14000US06037543603,Census Tract 5436.03,"Census Tract 5436.03, Los Angeles County, California",1478168,0,3914,41,632,614,111,1.05,14.72,16.15,15.69,2.84
06037543605,14000US06037543605,Census Tract 5436.05,"Census Tract 5436.05, Los Angeles County, California",956401,0,3855,100,481,260,0,2.59,10.53,12.48,6.74,0
06037543606,14000US06037543606,Census Tract 5436.06,"Census Tract 5436.06, Los Angeles County, California",669974,0,3589,474,662,327,96,13.21,12.82,18.45,9.11,2.67
06037543607,14000US06037543607,Census Tract 5436.07,"Census Tract 5436.07, Los Angeles County, California",1324673,0,5415,285,672,317,98,5.26,15.92,12.41,5.85,1.81
06037543701,14000US06037543701,Census Tract 5437.01,"Census Tract 5437.01, Los Angeles County, California",635470,0,3307,178,281,105,14,5.38,13.52,8.5,3.18,0.42
06037543703,14000US06037543703,Census Tract 5437.03,"Census Tract 5437.03, Los Angeles County, California",1036655,0,3864,264,377,181,37,6.83,13.41,9.76,4.68,0.96
06037543704,14000US06037543704,Census Tract 5437.04,"Census Tract 5437.04, Los Angeles County, California",669291,0,3018,141,273,64,24,4.67,15.54,9.05,2.12,0.8
06037543705,14000US06037543705,Census Tract 5437.05,"Census Tract 5437.05, Los Angeles County, California",646185,0,3440,84,194,134,65,2.44,17.94,5.64,3.9,1.89
06037543801,14000US06037543801,Census Tract 5438.01,"Census Tract 5438.01, Los Angeles County, California",2162305,41547,4831,403,468,253,64,8.34,12.07,9.69,5.24,1.32
06037543803,14000US06037543803,Census Tract 5438.03,"Census Tract 5438.03, Los Angeles County, California",755663,0,4178,243,270,208,94,5.82,11.85,6.46,4.98,2.25
06037543804,14000US06037543804,Census Tract 5438.04,"Census Tract 5438.04, Los Angeles County, California",600266,0,3737,36,368,98,335,0.96,10.57,9.85,2.62,8.96
06037543903,14000US06037543903,Census Tract 5439.03,"Census Tract 5439.03, Los Angeles County, California",1341570,14935,3764,167,576,125,70,4.44,11.4,15.3,3.32,1.86
06037543905,14000US06037543905,Census Tract 5439.05,"Census Tract 5439.05, Los Angeles County, California",2742579,1393,4879,331,240,114,51,6.78,9.78,4.92,2.34,1.05
06037544001,14000US06037544001,Census Tract 5440.01,"Census Tract 5440.01, Los Angeles County, California",1854206,18703,4580,261,283,73,95,5.7,11.55,6.18,1.59,2.07
06037544002,14000US06037544002,Census Tract 5440.02,"Census Tract 5440.02, Los Angeles County, California",1598286,0,3836,428,259,70,97,11.16,13.71,6.75,1.82,2.53
06037550101,14000US06037550101,Census Tract 5501.01,"Census Tract 5501.01, Los Angeles County, California",718115,0,4046,286,366,78,321,7.07,12.53,9.05,1.93,7.93
06037550201,14000US06037550201,Census Tract 5502.01,"Census Tract 5502.01, Los Angeles County, California",529319,0,3002,230,135,80,19,7.66,11.29,4.5,2.66,0.63
06037550202,14000US06037550202,Census Tract 5502.02,"Census Tract 5502.02, Los Angeles County, California",1260097,0,5394,205,461,132,39,3.8,13.74,8.55,2.45,0.72
06037550301,14000US06037550301,Census Tract 5503.01,"Census Tract 5503.01, Los Angeles County, California",1585554,69668,5274,750,229,215,131,14.22,10.41,4.34,4.08,2.48
06037550501,14000US06037550501,Census Tract 5505.01,"Census Tract 5505.01, Los Angeles County, California",828627,62138,3832,223,176,128,37,5.82,8.19,4.59,3.34,0.97
06037550502,14000US06037550502,Census Tract 5505.02,"Census Tract 5505.02, Los Angeles County, California",1748455,28328,3992,202,306,124,169,5.06,12.7,7.67,3.11,4.23
06037550601,14000US06037550601,Census Tract 5506.01,"Census Tract 5506.01, Los Angeles County, California",1172075,0,6557,470,335,164,81,7.17,9.82,5.11,2.5,1.24
06037550602,14000US06037550602,Census Tract 5506.02,"Census Tract 5506.02, Los Angeles County, California",1476977,0,3949,141,398,272,61,3.57,14.76,10.08,6.89,1.54
06037550700,14000US06037550700,Census Tract 5507,"Census Tract 5507, Los Angeles County, California",2159784,68553,6770,656,856,384,180,9.69,12.61,12.64,5.67,2.66
06037550801,14000US06037550801,Census Tract 5508.01,"Census Tract 5508.01, Los Angeles County, California",1587080,0,4855,347,532,174,154,7.15,14.11,10.96,3.58,3.17
06037550802,14000US06037550802,Census Tract 5508.02,"Census Tract 5508.02, Los Angeles County, California",1275581,36294,2151,118,212,56,17,5.49,11.48,9.86,2.6,0.79
06037550901,14000US06037550901,Census Tract 5509.01,"Census Tract 5509.01, Los Angeles County, California",1125706,0,4629,254,206,142,42,5.49,14.8,4.45,3.07,0.91
06037550902,14000US06037550902,Census Tract 5509.02,"Census Tract 5509.02, Los Angeles County, California",967593,0,5603,330,310,215,54,5.89,12.37,5.53,3.84,0.96
06037551001,14000US06037551001,Census Tract 5510.01,"Census Tract 5510.01, Los Angeles County, California",1382168,57598,3003,171,251,132,75,5.69,12.35,8.36,4.4,2.5
06037551002,14000US06037551002,Census Tract 5510.02,"Census Tract 5510.02, Los Angeles County, California",971988,0,4166,152,650,150,276,3.65,8.47,15.6,3.6,6.63
06037551101,14000US06037551101,Census Tract 5511.01,"Census Tract 5511.01, Los Angeles County, California",1686396,0,3971,294,475,21,42,7.4,8.54,11.96,0.53,1.06
06037551102,14000US06037551102,Census Tract 5511.02,"Census Tract 5511.02, Los Angeles County, California",1641498,46912,5341,233,154,95,9,4.36,9.96,2.88,1.78,0.17
06037551201,14000US06037551201,Census Tract 5512.01,"Census Tract 5512.01, Los Angeles County, California",788714,0,3739,98,440,124,111,2.62,10.89,11.77,3.32,2.97
06037551203,14000US06037551203,Census Tract 5512.03,"Census Tract 5512.03, Los Angeles County, California",722769,0,4067,223,334,59,45,5.48,7.84,8.21,1.45,1.11
06037551204,14000US06037551204,Census Tract 5512.04,"Census Tract 5512.04, Los Angeles County, California",678299,0,3387,255,435,114,62,7.53,7.76,12.84,3.37,1.83
06037551300,14000US06037551300,Census Tract 5513,"Census Tract 5513, Los Angeles County, California",1530183,0,5905,245,470,187,107,4.15,11.79,7.96,3.17,1.81
06037551401,14000US06037551401,Census Tract 5514.01,"Census Tract 5514.01, Los Angeles County, California",724200,0,4223,341,338,80,46,8.07,9.5,8,1.89,1.09
06037551402,14000US06037551402,Census Tract 5514.02,"Census Tract 5514.02, Los Angeles County, California",1155891,0,5273,415,265,105,53,7.87,11.3,5.03,1.99,1.01
06037551501,14000US06037551501,Census Tract 5515.01,"Census Tract 5515.01, Los Angeles County, California",1455321,19675,5006,290,389,96,44,5.79,12.19,7.77,1.92,0.88
06037551502,14000US06037551502,Census Tract 5515.02,"Census Tract 5515.02, Los Angeles County, California",1101055,0,5072,299,319,191,184,5.9,9.78,6.29,3.77,3.63
06037551700,14000US06037551700,Census Tract 5517,"Census Tract 5517, Los Angeles County, California",1297126,0,6357,284,627,319,37,4.47,12.77,9.86,5.02,0.58
06037551801,14000US06037551801,Census Tract 5518.01,"Census Tract 5518.01, Los Angeles County, California",1140854,0,3221,116,154,95,60,3.6,23.38,4.78,2.95,1.86
06037551802,14000US06037551802,Census Tract 5518.02,"Census Tract 5518.02, Los Angeles County, California",1059257,29699,4297,60,561,102,30,1.4,8.66,13.06,2.37,0.7
06037551900,14000US06037551900,Census Tract 5519,"Census Tract 5519, Los Angeles County, California",1543496,25975,5374,458,359,157,56,8.52,9.51,6.68,2.92,1.04
06037552001,14000US06037552001,Census Tract 5520.01,"Census Tract 5520.01, Los Angeles County, California",802787,0,3963,241,286,127,88,6.08,11.2,7.22,3.2,2.22
06037552002,14000US06037552002,Census Tract 5520.02,"Census Tract 5520.02, Los Angeles County, California",706344,283,3487,314,182,95,52,9,11.44,5.22,2.72,1.49
06037552100,14000US06037552100,Census Tract 5521,"Census Tract 5521, Los Angeles County, California",1461863,0,6292,558,386,318,196,8.87,16.29,6.13,5.05,3.12
06037552200,14000US06037552200,Census Tract 5522,"Census Tract 5522, Los Angeles County, California",1688959,980,5771,511,273,88,8,8.85,6.52,4.73,1.52,0.14
06037552301,14000US06037552301,Census Tract 5523.01,"Census Tract 5523.01, Los Angeles County, California",1249185,0,4264,224,385,73,69,5.25,13.04,9.03,1.71,1.62
06037552302,14000US06037552302,Census Tract 5523.02,"Census Tract 5523.02, Los Angeles County, California",961503,0,4192,228,476,222,23,5.44,10.57,11.35,5.3,0.55
06037552400,14000US06037552400,Census Tract 5524,"Census Tract 5524, Los Angeles County, California",932274,0,2389,119,130,104,40,4.98,11.01,5.44,4.35,1.67
06037552601,14000US06037552601,Census Tract 5526.01,"Census Tract 5526.01, Los Angeles County, California",711380,0,5574,451,322,130,123,8.09,10.84,5.78,2.33,2.21
06037552602,14000US06037552602,Census Tract 5526.02,"Census Tract 5526.02, Los Angeles County, California",1374588,0,3640,254,394,248,39,6.98,12.5,10.82,6.81,1.07
06037552700,14000US06037552700,Census Tract 5527,"Census Tract 5527, Los Angeles County, California",1375435,0,6578,429,722,166,133,6.52,14.75,10.98,2.52,2.02
06037552800,14000US06037552800,Census Tract 5528,"Census Tract 5528, Los Angeles County, California",1293753,0,6004,337,439,292,29,5.61,10.33,7.31,4.86,0.48
06037552900,14000US06037552900,Census Tract 5529,"Census Tract 5529, Los Angeles County, California",1309994,0,6497,472,511,177,111,7.26,11.17,7.87,2.72,1.71
06037553000,14000US06037553000,Census Tract 5530,"Census Tract 5530, Los Angeles County, California",1270457,0,5145,593,463,243,62,11.53,8.44,9,4.72,1.21
06037553100,14000US06037553100,Census Tract 5531,"Census Tract 5531, Los Angeles County, California",1985053,69985,7038,476,352,163,52,6.76,10.2,5,2.32,0.74
06037553201,14000US06037553201,Census Tract 5532.01,"Census Tract 5532.01, Los Angeles County, California",1036994,0,4111,236,237,77,64,5.74,16.76,5.77,1.87,1.56
06037553202,14000US06037553202,Census Tract 5532.02,"Census Tract 5532.02, Los Angeles County, California",823380,60885,3354,124,229,71,144,3.7,10.49,6.83,2.12,4.29
06037553300,14000US06037553300,Census Tract 5533,"Census Tract 5533, Los Angeles County, California",840823,0,3255,126,316,120,21,3.87,14.19,9.71,3.69,0.65
06037553400,14000US06037553400,Census Tract 5534,"Census Tract 5534, Los Angeles County, California",733216,0,3652,107,347,81,49,2.93,12.32,9.5,2.22,1.34
06037553502,14000US06037553502,Census Tract 5535.02,"Census Tract 5535.02, Los Angeles County, California",1265578,0,3906,181,317,89,86,4.63,7.86,8.12,2.28,2.2
06037553503,14000US06037553503,Census Tract 5535.03,"Census Tract 5535.03, Los Angeles County, California",423254,0,3268,140,202,91,9,4.28,6.82,6.18,2.78,0.28
06037553504,14000US06037553504,Census Tract 5535.04,"Census Tract 5535.04, Los Angeles County, California",638097,0,4860,336,327,49,90,6.91,9.51,6.73,1.01,1.85
06037553601,14000US06037553601,Census Tract 5536.01,"Census Tract 5536.01, Los Angeles County, California",2115852,59309,4880,385,196,93,59,7.89,6.86,4.02,1.91,1.21
06037553602,14000US06037553602,Census Tract 5536.02,"Census Tract 5536.02, Los Angeles County, California",603493,0,5087,422,226,42,8,8.3,4.31,4.44,0.83,0.16
06037553701,14000US06037553701,Census Tract 5537.01,"Census Tract 5537.01, Los Angeles County, California",1002039,93877,3884,101,238,88,25,2.6,9.14,6.13,2.27,0.64
06037553702,14000US06037553702,Census Tract 5537.02,"Census Tract 5537.02, Los Angeles County, California",833082,96800,4707,346,298,12,27,7.35,10.24,6.33,0.25,0.57
06037553801,14000US06037553801,Census Tract 5538.01,"Census Tract 5538.01, Los Angeles County, California",1294831,0,4241,323,87,60,52,7.62,9.43,2.05,1.41,1.23
06037553802,14000US06037553802,Census Tract 5538.02,"Census Tract 5538.02, Los Angeles County, California",1732522,33698,6959,334,390,341,8,4.8,12.63,5.6,4.9,0.11
06037553901,14000US06037553901,Census Tract 5539.01,"Census Tract 5539.01, Los Angeles County, California",1277454,0,6344,268,475,285,94,4.22,8.69,7.49,4.49,1.48
06037553902,14000US06037553902,Census Tract 5539.02,"Census Tract 5539.02, Los Angeles County, California",1055808,0,5768,314,264,137,0,5.44,6.64,4.58,2.38,0
06037554001,14000US06037554001,Census Tract 5540.01,"Census Tract 5540.01, Los Angeles County, California",1082738,0,4447,293,600,65,51,6.59,13.09,13.49,1.46,1.15
06037554002,14000US06037554002,Census Tract 5540.02,"Census Tract 5540.02, Los Angeles County, California",1269668,0,5636,333,283,74,61,5.91,9.9,5.02,1.31,1.08
06037554101,14000US06037554101,Census Tract 5541.01,"Census Tract 5541.01, Los Angeles County, California",473914,0,3237,308,155,20,24,9.51,7.07,4.79,0.62,0.74
06037554105,14000US06037554105,Census Tract 5541.05,"Census Tract 5541.05, Los Angeles County, California",337184,0,4648,472,163,61,20,10.15,9.66,3.51,1.31,0.43
06037554106,14000US06037554106,Census Tract 5541.06,"Census Tract 5541.06, Los Angeles County, California",733050,0,3983,224,193,173,41,5.62,14.31,4.85,4.34,1.03
06037554201,14000US06037554201,Census Tract 5542.01,"Census Tract 5542.01, Los Angeles County, California",971161,0,3772,168,267,148,34,4.45,12.54,7.08,3.92,0.9
06037554203,14000US06037554203,Census Tract 5542.03,"Census Tract 5542.03, Los Angeles County, California",684290,0,4067,175,408,52,76,4.3,11.95,10.03,1.28,1.87
06037554204,14000US06037554204,Census Tract 5542.04,"Census Tract 5542.04, Los Angeles County, California",659358,0,4914,247,361,241,81,5.03,8.51,7.35,4.9,1.65
06037554301,14000US06037554301,Census Tract 5543.01,"Census Tract 5543.01, Los Angeles County, California",675594,0,3417,162,125,46,36,4.74,10.24,3.66,1.35,1.05
06037554302,14000US06037554302,Census Tract 5543.02,"Census Tract 5543.02, Los Angeles County, California",719080,0,4665,382,108,27,6,8.19,10.74,2.32,0.58,0.13
06037554403,14000US06037554403,Census Tract 5544.03,"Census Tract 5544.03, Los Angeles County, California",840693,0,5593,352,352,103,65,6.29,8.76,6.29,1.84,1.16
06037554404,14000US06037554404,Census Tract 5544.04,"Census Tract 5544.04, Los Angeles County, California",841788,0,4669,335,376,87,34,7.17,14.5,8.05,1.86,0.73
06037554405,14000US06037554405,Census Tract 5544.05,"Census Tract 5544.05, Los Angeles County, California",765520,0,3554,225,377,258,10,6.33,7.99,10.61,7.26,0.28
06037554406,14000US06037554406,Census Tract 5544.06,"Census Tract 5544.06, Los Angeles County, California",1103316,0,4710,300,533,388,63,6.37,10.21,11.32,8.24,1.34
06037554511,14000US06037554511,Census Tract 5545.11,"Census Tract 5545.11, Los Angeles County, California",2331683,36957,4045,233,345,275,78,5.76,12.98,8.53,6.8,1.93
06037554512,14000US06037554512,Census Tract 5545.12,"Census Tract 5545.12, Los Angeles County, California",3833212,0,6579,319,682,731,172,4.85,11.02,10.37,11.11,2.61
06037554513,14000US06037554513,Census Tract 5545.13,"Census Tract 5545.13, Los Angeles County, California",566950,0,2575,126,366,250,36,4.89,9.01,14.21,9.71,1.4
06037554514,14000US06037554514,Census Tract 5545.14,"Census Tract 5545.14, Los Angeles County, California",1506540,0,4776,243,548,265,145,5.09,17.34,11.47,5.55,3.04
06037554515,14000US06037554515,Census Tract 5545.15,"Census Tract 5545.15, Los Angeles County, California",1209028,0,3338,156,614,449,97,4.67,11.56,18.39,13.45,2.91
06037554516,14000US06037554516,Census Tract 5545.16,"Census Tract 5545.16, Los Angeles County, California",1453809,0,3721,103,741,220,62,2.77,13.71,19.91,5.91,1.67
06037554517,14000US06037554517,Census Tract 5545.17,"Census Tract 5545.17, Los Angeles County, California",1321870,0,4323,152,587,320,99,3.52,13.05,13.58,7.4,2.29
06037554518,14000US06037554518,Census Tract 5545.18,"Census Tract 5545.18, Los Angeles County, California",1749312,57989,5296,366,693,274,107,6.91,13.03,13.09,5.17,2.02
06037554519,14000US06037554519,Census Tract 5545.19,"Census Tract 5545.19, Los Angeles County, California",1643430,90226,3607,78,516,402,299,2.16,20.02,14.31,11.14,8.29
06037554521,14000US06037554521,Census Tract 5545.21,"Census Tract 5545.21, Los Angeles County, California",4833208,114000,6221,498,1056,399,224,8.01,14.58,16.97,6.41,3.6
06037554522,14000US06037554522,Census Tract 5545.22,"Census Tract 5545.22, Los Angeles County, California",2153694,39477,5149,242,827,210,208,4.7,12.45,16.06,4.08,4.04
06037554600,14000US06037554600,Census Tract 5546,"Census Tract 5546, Los Angeles County, California",1054600,0,4242,223,329,144,96,5.26,13.25,7.76,3.39,2.26
06037554700,14000US06037554700,Census Tract 5547,"Census Tract 5547, Los Angeles County, California",801439,0,4201,181,367,212,65,4.31,11.83,8.74,5.05,1.55
06037554801,14000US06037554801,Census Tract 5548.01,"Census Tract 5548.01, Los Angeles County, California",903842,0,2724,152,277,88,56,5.58,9.62,10.17,3.23,2.06
06037554802,14000US06037554802,Census Tract 5548.02,"Census Tract 5548.02, Los Angeles County, California",1535465,0,5973,383,549,375,173,6.41,17.34,9.19,6.28,2.9
06037554900,14000US06037554900,Census Tract 5549,"Census Tract 5549, Los Angeles County, California",1757679,0,7693,467,701,385,131,6.07,9.71,9.11,5,1.7
06037555001,14000US06037555001,Census Tract 5550.01,"Census Tract 5550.01, Los Angeles County, California",1262437,25935,5339,215,379,213,257,4.03,14.27,7.1,3.99,4.81
06037555002,14000US06037555002,Census Tract 5550.02,"Census Tract 5550.02, Los Angeles County, California",885650,24745,3894,179,374,84,40,4.6,8.96,9.6,2.16,1.03
06037555105,14000US06037555105,Census Tract 5551.05,"Census Tract 5551.05, Los Angeles County, California",1100522,0,5943,158,457,115,28,2.66,15.48,7.69,1.94,0.47
06037555106,14000US06037555106,Census Tract 5551.06,"Census Tract 5551.06, Los Angeles County, California",881837,0,2882,198,285,86,107,6.87,7.98,9.89,2.98,3.71
06037555107,14000US06037555107,Census Tract 5551.07,"Census Tract 5551.07, Los Angeles County, California",1206094,60514,6093,263,454,252,168,4.32,13.28,7.45,4.14,2.76
06037555202,14000US06037555202,Census Tract 5552.02,"Census Tract 5552.02, Los Angeles County, California",1067390,36623,3829,176,324,145,87,4.6,12.22,8.46,3.79,2.27
06037555211,14000US06037555211,Census Tract 5552.11,"Census Tract 5552.11, Los Angeles County, California",786465,0,5588,386,277,187,156,6.91,7.64,4.96,3.35,2.79
06037555212,14000US06037555212,Census Tract 5552.12,"Census Tract 5552.12, Los Angeles County, California",779669,30331,5708,463,399,229,12,8.11,8.64,6.99,4.01,0.21
06037555300,14000US06037555300,Census Tract 5553,"Census Tract 5553, Los Angeles County, California",1711278,0,5015,90,736,144,219,1.79,16.05,14.68,2.87,4.37
06037570001,14000US06037570001,Census Tract 5700.01,"Census Tract 5700.01, Los Angeles County, California",1532425,0,4871,244,391,155,64,5.01,15.23,8.03,3.18,1.31
06037570002,14000US06037570002,Census Tract 5700.02,"Census Tract 5700.02, Los Angeles County, California",778226,0,2599,63,238,59,18,2.42,10.12,9.16,2.27,0.69
06037570003,14000US06037570003,Census Tract 5700.03,"Census Tract 5700.03, Los Angeles County, California",1144564,0,4402,329,364,152,31,7.47,15.08,8.27,3.45,0.7
06037570100,14000US06037570100,Census Tract 5701,"Census Tract 5701, Los Angeles County, California",1154366,0,3282,217,244,165,80,6.61,10.45,7.43,5.03,2.44
06037570202,14000US06037570202,Census Tract 5702.02,"Census Tract 5702.02, Los Angeles County, California",1673765,0,6552,489,372,126,78,7.46,12.42,5.68,1.92,1.19
06037570203,14000US06037570203,Census Tract 5702.03,"Census Tract 5702.03, Los Angeles County, California",1301660,0,4432,396,137,3,17,8.94,8.01,3.09,0.07,0.38
06037570204,14000US06037570204,Census Tract 5702.04,"Census Tract 5702.04, Los Angeles County, California",548092,0,4581,364,548,190,67,7.95,12.16,11.96,4.15,1.46
06037570303,14000US06037570303,Census Tract 5703.03,"Census Tract 5703.03, Los Angeles County, California",600473,15536,4576,549,219,63,32,12,11.84,4.79,1.38,0.7
06037570304,14000US06037570304,Census Tract 5703.04,"Census Tract 5703.04, Los Angeles County, California",545967,25570,4968,302,254,95,37,6.08,9.18,5.11,1.91,0.74
06037570305,14000US06037570305,Census Tract 5703.05,"Census Tract 5703.05, Los Angeles County, California",694136,44355,4163,573,206,25,28,13.76,10.04,4.95,0.6,0.67
06037570306,14000US06037570306,Census Tract 5703.06,"Census Tract 5703.06, Los Angeles County, California",465918,0,2930,272,203,0,0,9.28,20.34,6.93,0,0
06037570402,14000US06037570402,Census Tract 5704.02,"Census Tract 5704.02, Los Angeles County, California",1417975,98017,3572,263,318,116,44,7.36,12.85,8.9,3.25,1.23
06037570403,14000US06037570403,Census Tract 5704.03,"Census Tract 5704.03, Los Angeles County, California",572547,0,4116,347,259,52,40,8.43,9.04,6.29,1.26,0.97
06037570404,14000US06037570404,Census Tract 5704.04,"Census Tract 5704.04, Los Angeles County, California",816724,48845,3901,201,188,96,19,5.15,10.28,4.82,2.46,0.49
06037570502,14000US06037570502,Census Tract 5705.02,"Census Tract 5705.02, Los Angeles County, California",1997826,0,6259,429,561,295,59,6.85,14.12,8.96,4.71,0.94
06037570503,14000US06037570503,Census Tract 5705.03,"Census Tract 5705.03, Los Angeles County, California",538942,0,4121,275,450,19,107,6.67,8.35,10.92,0.46,2.6
06037570504,14000US06037570504,Census Tract 5705.04,"Census Tract 5705.04, Los Angeles County, California",946994,0,3815,372,270,54,71,9.75,12.11,7.08,1.42,1.86
06037570601,14000US06037570601,Census Tract 5706.01,"Census Tract 5706.01, Los Angeles County, California",780449,0,6243,517,340,81,23,8.28,11.81,5.45,1.3,0.37
06037570602,14000US06037570602,Census Tract 5706.02,"Census Tract 5706.02, Los Angeles County, California",1042596,0,5498,277,473,250,0,5.04,11.3,8.6,4.55,0
06037570603,14000US06037570603,Census Tract 5706.03,"Census Tract 5706.03, Los Angeles County, California",734616,0,5130,348,158,51,2,6.78,12.32,3.08,0.99,0.04
06037570701,14000US06037570701,Census Tract 5707.01,"Census Tract 5707.01, Los Angeles County, California",1776912,1953,7866,537,402,340,135,6.83,8.95,5.11,4.32,1.72
06037570703,14000US06037570703,Census Tract 5707.03,"Census Tract 5707.03, Los Angeles County, California",929734,0,2922,204,227,203,76,6.98,13.76,7.77,6.95,2.6
06037570800,14000US06037570800,Census Tract 5708,"Census Tract 5708, Los Angeles County, California",2393579,705,5674,498,278,217,124,8.78,13.08,4.9,3.82,2.19
06037570901,14000US06037570901,Census Tract 5709.01,"Census Tract 5709.01, Los Angeles County, California",1815597,0,5900,273,418,361,94,4.63,18.47,7.08,6.12,1.59
06037570902,14000US06037570902,Census Tract 5709.02,"Census Tract 5709.02, Los Angeles County, California",1055804,0,3496,122,436,65,170,3.49,13.82,12.47,1.86,4.86
06037571000,14000US06037571000,Census Tract 5710,"Census Tract 5710, Los Angeles County, California",1754175,0,5674,333,523,209,81,5.87,15.07,9.22,3.68,1.43
06037571101,14000US06037571101,Census Tract 5711.01,"Census Tract 5711.01, Los Angeles County, California",1323727,0,5049,431,360,189,99,8.54,17.33,7.13,3.74,1.96
06037571102,14000US06037571102,Census Tract 5711.02,"Census Tract 5711.02, Los Angeles County, California",1257570,0,3525,291,262,105,30,8.26,19.09,7.43,2.98,0.85
06037571201,14000US06037571201,Census Tract 5712.01,"Census Tract 5712.01, Los Angeles County, California",1305152,0,3919,236,526,187,218,6.02,13.52,13.42,4.77,5.56
06037571202,14000US06037571202,Census Tract 5712.02,"Census Tract 5712.02, Los Angeles County, California",1307630,0,3999,67,349,303,49,1.68,14.8,8.73,7.58,1.23
06037571300,14000US06037571300,Census Tract 5713,"Census Tract 5713, Los Angeles County, California",2053604,43182,4391,347,518,248,143,7.9,13.12,11.8,5.65,3.26
06037571400,14000US06037571400,Census Tract 5714,"Census Tract 5714, Los Angeles County, California",1911366,7783,4876,495,625,154,57,10.15,12.78,12.82,3.16,1.17
06037571502,14000US06037571502,Census Tract 5715.02,"Census Tract 5715.02, Los Angeles County, California",1374550,2381,5051,334,723,233,66,6.61,11.03,14.31,4.61,1.31
06037571504,14000US06037571504,Census Tract 5715.04,"Census Tract 5715.04, Los Angeles County, California",1511673,0,5145,368,385,50,54,7.15,16.23,7.48,0.97,1.05
06037571505,14000US06037571505,Census Tract 5715.05,"Census Tract 5715.05, Los Angeles County, California",655806,0,3149,296,226,136,26,9.4,15.31,7.18,4.32,0.83
06037571600,14000US06037571600,Census Tract 5716,"Census Tract 5716, Los Angeles County, California",288944,0,2299,138,116,43,27,6,10.27,5.05,1.87,1.17
06037571701,14000US06037571701,Census Tract 5717.01,"Census Tract 5717.01, Los Angeles County, California",1718189,194866,6800,601,294,141,45,8.84,9.9,4.32,2.07,0.66
06037571703,14000US06037571703,Census Tract 5717.03,"Census Tract 5717.03, Los Angeles County, California",397479,0,3388,92,468,140,41,2.72,11.87,13.81,4.13,1.21
06037571704,14000US06037571704,Census Tract 5717.04,"Census Tract 5717.04, Los Angeles County, California",481587,0,3896,161,250,32,31,4.13,10.09,6.42,0.82,0.8
06037571800,14000US06037571800,Census Tract 5718,"Census Tract 5718, Los Angeles County, California",2655771,184371,3305,60,478,169,72,1.82,20.27,14.46,5.11,2.18
06037571900,14000US06037571900,Census Tract 5719,"Census Tract 5719, Los Angeles County, California",1935159,0,5676,129,645,196,150,2.27,13.78,11.36,3.45,2.64
