date_time,stid,relative_humidity_high,air_temp_high,heat_index_high,relative_humidity_low,air_temp_low,heat_index_low,lon,lat,geometry
2020-10-18,KLAX,100.0,73.94,74.1595,64.76,62.6,62.970479999999995,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-19,KLAX,88.2,73.94,73.948,62.0,64.04,64.23206,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-20,KLAX,88.11,73.4,73.29525000000001,60.75,62.6,62.69694,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-21,KLAX,88.11,69.98,70.00842000000002,68.19,64.04,64.07743,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-22,KLAX,82.77,69.98,69.50304,59.12,66.02,65.72540000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-23,KLAX,77.64,69.8,69.31269,60.27,64.4,64.18156,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-24,KLAX,82.65,69.8,69.31269,60.03,62.6,62.43843999999999,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-25,KLAX,78.03,69.8,68.96301,52.83,62.6,61.963739999999994,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-26,KLAX,77.35,75.2,72.6973,5.43,57.02,54.173350000000006,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-27,KLAX,40.65,75.2,73.45682000000001,4.34,51.8,47.87991,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-28,KLAX,72.78,73.4,72.36324000000002,33.94,53.6,51.387409999999996,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-29,KLAX,82.14,73.4,72.78859000000001,34.84,55.04,53.61014,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-30,KLAX,100.0,75.2,74.00061,33.63,53.6,52.25644,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-31,KLAX,100.0,71.96,71.01517999999999,35.24,53.6,52.508359999999996,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-01,KLAX,90.04,73.94,73.46484,39.92,55.94,55.46588,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-02,KLAX,100.0,69.8,69.70467000000001,68.41,57.2,57.32000000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-03,KLAX,100.0,71.6,71.30396999999999,60.51,57.02,57.023900000000005,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-04,KLAX,100.0,71.96,71.69407,53.1,55.4,55.34,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-05,KLAX,93.84,87.8,84.1664781569707,14.66,57.2,55.996950000000005,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-06,KLAX,93.89,75.2,74.23091000000001,38.53,60.8,60.20699,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-07,KLAX,77.07,64.04,63.554790000000004,51.37,53.06,51.539300000000004,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-08,KLAX,74.1,60.98,58.85492999999999,44.19,48.92,46.98953,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-09,KLAX,64.04,62.06,59.47893,32.19,46.04,42.943099999999994,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-10,KLAX,65.42,62.96,60.10515,24.45,46.94,44.075039999999994,-118.38889,33.93806,POINT (-118.38889 33.93806)
